id	turn1	turn2	turn3	label
0	Update on grandma	Why didn’t I get one from you	I’m so sorry	others
1	My life lol	bitch the only drama in yo life is which color mustang you trying to pull up today	That’s already enough for me	others
2	I've been single for a week... already I'm dating again. Lmfao. Fok I'm a serial jolist.	When we say it you are ready to swing punches	it's not your place	others
3	I HATE	You should see our text thread I can’t	She’s the she devil lmao	others
4	... I just won tickets in the lottery to Elf. How was it?	Meh	Thanks. That’s disappointing but for $30...	others
5	someone make me an Apple Music playlist pls	I would but you’d probably know all the shit on there bc we have the same damn music taste lmaoo	pls do it anyway lmao I’m honestly so tired of my playlists	others
6	Thing I wrote about the TV side of Thursday morning's	Good analysis here!  Also...	ARBY'S!!!	others
7	Ok brb	no	I knew it. I knew u were obsessed with me	others
8	Am I a good boy	ur the goodest boy ever ily	:'0 ily too :'D	others
9	I want to become a member of my HOA board so I can outlaw multi-colored Christmas lights.	You wouldn’t like one of the trees at my house then	Do ya thang girl!!	others
10	i finally finished s1 of daiya today (thank u k^2 for screaming with me) and to the surprise of no one, i still stan kuramochi the fucking most and want to give him the whole entire world	i wanna start that show ;;;; everything i see for it looks so good!	PLEASE DO!!!! the characters are phenomenal and it’s such a realistic sports anime! absolutely top-tier!	others
11	Me on $1 shot night:	When you handed me your cup of straight tequila at river grille and said “here drink this, I have to go throw up”	I’m dead I don’t know why I was given straight tequila	others
12	What happened?	Hammer crashes every time I open my map, or any map for that matter.	Oh no, just when I wanted to edit my map to test the new resources, seems like I will have to wait... Thank you for the info.	others
13	now we're fuckin talkin	Keith play nice. I can't believe I've had to say that	i am i love playing with myself	others
14	Instagram, at one point, took me out not reality.  I used to get upset that my pictures only got 50 likes.  Until someone told me to imagine 50 people standing in front of my photograph. It totally shifted my way of thinking.	Y did u care about numbers?	At one point, I was under the impression that it validated the quality of my work.	others
15	So who’s coming to ROA with me & Lauren then....we’ve already debated getting a flight home Saturday instead of tomorrow to see it again	I have to wait till April but I’m seeing it 4 times hope you’re enjoying it!!	It’s insane honestly !! High key wanna see it again tomorrow but we’ve got a flight to catch	others
16	I CANT WAIT TO SEE THIS. SAFIYA IS SUCH A QUEEN AAAAAA	She's she only good part	So I’ve heard! but everything places in comparison to saf	others
17	Believe In You .	Brotherrrrr	My sister !	others
18	I don’t think I would possibly wish this on my worst enemy, life is unfair	love you	I love u	others
